event	time	athlete	year	gender
rasos100	10.49	FlorenceGRIFFITHJOYNER	1988	F
rasos100	10.54	ElaineTHOMPSON	2021	F
rasos100	10.6	ShellyAnnFRASERPRYCE	2021	F
rasos100	10.64	CarmelitaJETER	2009	F
rasos100	10.65	MarionJONES	1998	F
rasos100	10.72	Sha'CarriRICHARDSON	2021	F
rasos100	10.73	ChristineARRON	1998	F
rasos100	10.74	MerleneOTTEY	1996	F
rasos100	10.74	EnglishGARDNER	2016	F
rasos100	10.75	KerronSTEWART	2009	F
rasos100	10.76	EvelynASHFORD	1984	F
rasos100	10.76	VeronicaCAMPBELLBROWN	2011	F
rasos100	10.76	SherickaJACKSON	2021	F
rasos100	10.77	IrinaPRIVALOVA	1994	F
rasos100	10.77	IvetLALOVACOLLIO	2004	F
rasos100	10.78	DawnSOWELL	1989	F
rasos100	10.78	TorriEDWARDS	2008	F
rasos100	10.78	MurielleAHOURÉ	2016	F
rasos100	10.78	TiannaBARTOLETTA	2016	F
rasos100	10.78	ToriBOWIE	2016	F
rasos100	10.78	MarieJoséeTALOU	2021	F
rasos100	10.79	XuemeiLI	1997	F
rasos100	10.79	IngerMILLER	1999	F
rasos100	10.79	BlessingOKAGBAREIGHOTEGUONOR	2013	F
rasos100	10.81	MarliesGÖHR	1983	F
rasos100	10.81	DafneSCHIPPERS	2015	F
rasos100	10.82	GailDEVERS	1992	F
rasos100	10.82	GwenTORRENCE	1994	F
rasos100	10.82	ZhannaBLOCK	2001	F
rasos100	10.82	SheroneSIMPSON	2006	F
rasos100	10.82	MichelleLeeAHYE	2017	F
rasos100	10.83	MaritaKOCH	1983	F
rasos100	10.83	SheilaECHOLS	1988	F
rasos100	10.83	JulietCUTHBERT	1992	F
rasos100	10.83	KaterinaTHANOU	1999	F
rasos100	10.83	TeahnaDANIELS	2021	F
rasos100	10.84	ChandraSTURRUP	2005	F
rasos100	10.84	KellyAnnBAPTISTE	2010	F
rasos100	10.85	AneliaNUNEVA	1988	F
rasos100	10.85	ZhannaPINTUSEVICH	1997	F
rasos100	10.85	MunaLEE	2008	F
rasos100	10.85	BarbaraPIERRE	2013	F
rasos100	10.85	AleiaHOBBS	2017	F
rasos100	10.85	DinaASHERSMITH	2018	F
rasos100	10.86	SilkeMÖLLER	1987	F
rasos100	10.86	DianeWILLIAMS	1988	F
rasos100	10.86	ChrysteGAINES	2003	F
rasos100	10.86	MarshevetHOOKER	2011	F
rasos100	10.87	OctaviousFREEMAN	2013	F
rasos100	10.87	NatashaMORRISON	2021	F
rasos100	10.88	MarliesOELSNER	1977	F
rasos100	10.88	LaurynWILLIAMS	2005	F
rasos100	10.89	KatrinKRABBE	1988	F
rasos100	10.89	XiaomeiLIU	1997	F
rasos100	10.89	AllysonFELIX	2012	F
rasos100	10.89	TwanishaTERRY	2021	F
rasos100	10.9	GloryALOZIE	1999	F
rasos100	10.9	ShalondaSOLOMON	2010	F
rasos100	10.9	AjlaDELPONTE	2021	F
rasos100	10.91	HeikeDRECHSLER	1986	F
rasos100	10.91	SavathedaFYNES	1999	F
rasos100	10.91	DebbieFERGUSONMCKENZIE	2002	F
rasos100	10.91	AlexandriaANDERSON	2013	F
rasos100	10.91	RosângelaSANTOS	2017	F
rasos100	10.92	AliceBROWN	1988	F
rasos100	10.92	D'AndreHILL	1996	F
rasos100	10.92	YuliyaNESTERENKO	2004	F
rasos100	10.92	JennaPRANDINI	2015	F
rasos100	10.92	JasmineTODD	2015	F
rasos100	10.92	CambreaSTURGIS	2021	F
rasos100	10.93	EwaKASPRZYK	1986	F
rasos100	10.93	TaynaLAWRENCE	2002	F
rasos100	10.93	JenebaTARMOH	2013	F
rasos100	10.93	DaryllNEITA	2021	F
rasos100	10.94	CarletteGUIDRY	1991	F
rasos100	10.94	SchillonieCALVERTPOWELL	2017	F
rasos100	10.94	MujingaKAMBUNDJI	2021	F
rasos100	10.95	BärbelWÖCKEL	1982	F
rasos100	10.95	Me'LisaBARBER	2007	F
rasos100	10.95	SimoneFACEY	2008	F
rasos100	10.95	MorolakeAKINOSUN	2016	F
rasos100	10.95	GinaLÜCKENKEMPER	2017	F
rasos100	10.96	MarieJoséPEREC	1991	F
rasos100	10.96	GalinaMALCHUGINA	1992	F
rasos100	10.96	EldeceCLARKELEWIS	2000	F
rasos100	10.96	MurielHURTIS	2002	F
rasos100	10.96	KimberlynDUNCAN	2012	F
rasos100	10.96	AurieyallSCOTT	2013	F
rasos100	10.96	ChristaniaWILLIAMS	2016	F
rasos100	10.96	MikiahBRISCO	2017	F
rasos100	10.96	AshleyHENDERSON	2018	F
rasos100	10.96	TamaraCLARK	2021	F
rasos100	10.96	JavianneOLIVER	2021	F
rasos100	10.97	AngellaISSAJENKO	1987	F
rasos100	10.97	MaryONYALIOMAGBEMI	1993	F
rasos100	10.97	PaulineDAVISTHOMPSON	2000	F
rasos100	10.97	LaTashaCOLANDER	2004	F
rasos100	10.97	SanyaRICHARDSROSS	2007	F
rasos100	10.97	MechelleLEWIS	2008	F
rasos100	10.97	LaShaunteaMOORE	2010	F
rasos100	10.98	MarinaZHIROVA	1985	F
rasos100	10.98	AngelaBAILEY	1987	F
rasos100	10.98	NatalyaVORONOVA	1988	F
rasos100	10.98	LéonieMyriamMANI	2001	F
rasos100	10.98	CarrieRUSSELL	2013	F
rasos100	10.98	CandaceHILL	2015	F
rasos100	10.98	CarinaHORN	2018	F
rasos100	10.98	ShaniaCOLLINS	2018	F
rasos100	10.98	KembaNELSON	2021	F
rasos100	10.98	ShaunaeMILLERUIBO	2020	F
rasos100	10.99	ZhannaTARNOPOLSKAYA	1994	F
rasos100	10.99	BeverlyMCDONALD	1998	F
rasos100	10.99	OludamolaOSAYOMI	2011	F
rasos100	10.99	ÁngelaGabrielaTENORIO	2015	F
rasos100	10.99	HannahCUNLIFFE	2016	F
rasos100	10.99	DezereaBRYANT	2018	F
rasos100	10.99	YongliWEI	2018	F
rasos100	10.99	ValerieBRISCOHOOKS	1986	F
rasos100	11	SamanthaHENRYROBINSON	2014	F
rasos100	11	CandyceMCGRONE	2015	F
rasos100	11	TatjanaPINTO	2016	F
rasos100	11	DeajahSTEVENS	2017	F
rasos100	11	GabrielleTHOMAS	2021	F
rasos100	11	GraceNWOKOCHA	2021	F
rasos100	11.01	AnnegretRICHTER	1976	F
rasos100	11.01	PamMARSHALL	1987	F
rasos100	11.01	AshleyCOLLIER	2012	F
rasos100	11.01	AnaClaudiaLEMOS	2015	F
rasos100	11.01	AriannaWASHINGTON	2016	F
rasos100	11.01	AaliyahBROWN	2017	F
rasos100	11.01	CarolleZAHI	2018	F
rasos100	11.01	AlexandraBURGHARDT	2021	F
rasos100	11.02	LaTashaJENKINS	2001	F
rasos100	11.02	MikeleBARBER	2007	F
rasos100	11.02	AngelaWILLIAMS	2008	F
rasos100	11.02	VerenaSAILER	2013	F
rasos100	11.02	JoannaATKINS	2014	F
rasos100	11.02	RomySCHNEIDERMÜLLER	1980	F
rasos100	11.02	LyudmilaKONDRATYEVA	1984	F
rasos100	11.02	TyniaGAITHER	2021	F
rasos100	11.02	SymoneMASON	2021	F
rasos100	11.03	MonikaHAMANN	1977	F
rasos100	11.03	HolliHYCHE	1994	F
rasos100	11.03	PetaGayeDOWDIE	1999	F
rasos100	11.03	PhilomenaMENSAH	1999	F
rasos100	11.03	MercyNKU	1999	F
rasos100	11.03	MariaKARASTAMATI	2005	F
rasos100	11.03	GloriaASUMNU	2008	F
